
-------------------------------------------------------------------------------------------------
Iniciando inserción de jornada
-------------------------------------------------------------------------------------------------
Partido 4440628 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 58, Visitante: 56
Partido 4440623 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 54, Visitante: 47
Partido 4440621 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 52, Visitante: 46
Partido 4440627 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 44, Visitante: 49
Partido 4440622 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 55, Visitante: 48
Partido 4440624 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 51, Visitante: 45
Partido 4440620 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 40, Visitante: 60
Partido 4440625 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 41, Visitante: 39
Partido 4440626 ya procesado anteriormente. Liga: 2, Jornada: 27, Local: 50, Visitante: 53
Partido 4430080 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 104, Visitante: 95
Partido 4430079 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 98, Visitante: 112
Partido 4430078 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 109, Visitante: 114
Partido 4430084 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 96, Visitante: 100
Partido 4430077 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 108, Visitante: 97
Partido 4430081 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 103, Visitante: 102
Partido 4430083 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 99, Visitante: 107
Partido 4430076 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 113, Visitante: 101
Partido 4430082 ya procesado anteriormente. Liga: 6, Jornada: 27, Local: 110, Visitante: 105
Partido 4479713 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 124, Visitante: 116
Partido 4479714 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 119, Visitante: 125
Partido 4479716 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 123, Visitante: 130
Partido 4479720 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 120, Visitante: 111
Partido 4479717 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 127, Visitante: 121
Partido 4479718 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 117, Visitante: 106
Partido 4479719 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 128, Visitante: 122
Partido 4479715 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 126, Visitante: 129
Partido 4479721 ya procesado anteriormente. Liga: 7, Jornada: 27, Local: 118, Visitante: 115
Partido 4440971 ya procesado anteriormente. Liga: 4, Jornada: 27, Local: 76, Visitante: 77
Partido 4440972 ya procesado anteriormente. Liga: 4, Jornada: 27, Local: 61, Visitante: 62
Partido 4440975 ya procesado anteriormente. Liga: 4, Jornada: 27, Local: 64, Visitante: 67
